"FirstNeg" "SecondNeg" "FirstPos" "SecondPos" "TotalMechs" "TotalNeg" "TotalPos" "FalseMech1" "FalseMech2" "FalseMech3" "FalseMech4" "exRf$y"
"101" 2 3 174 145 58 14 7 0 1 7 13 "-1"
"102" 4 5 55 0 48 19 1 0 1 20 0 "-1"
"103" 3 4 152 0 49 19 1 1 2 3 0 "-1"
"104" 1 2 75 50 59 29 2 0 1 18 28 "-1"
"105" 2 3 38 0 36 11 1 0 1 16 0 "-1"
"106" 3 15 170 160 51 16 3 0 4 3 5 "-1"
"107" 11 18 0 0 36 15 0 0 6 0 0 "-1"
"108" 2 10 172 56 48 15 3 0 3 0 18 "-1"
"109" 1 2 187 0 34 16 1 0 1 0 0 "-1"
"110" 1 2 126 66 52 24 2 0 1 6 18 "-1"
"111" 14 18 41 0 41 15 1 3 5 21 0 "-1"
"112" 1 2 52 32 44 18 2 0 1 13 23 "-1"
"113" 1 5 192 124 64 22 3 0 2 0 19 "-1"
"114" 8 10 142 107 52 21 4 1 2 11 16 "1"
"115" 3 4 51 0 37 16 1 0 1 10 0 "-1"
"116" 1 3 98 80 50 21 2 0 1 11 13 "-1"
"117" 7 14 77 75 45 13 4 0 4 12 13 "-1"
"118" 5 7 0 0 55 17 0 2 3 0 0 "-1"
"119" 1 2 84 74 49 21 2 0 1 13 15 "-1"
"120" 1 2 118 90 56 25 3 0 1 8 12 "-1"
"121" 6 7 194 150 34 15 4 2 3 0 4 "-1"
"122" 2 7 0 0 29 10 0 0 1 0 0 "-1"
"123" 1 3 0 0 38 15 0 0 1 0 0 "-1"
"124" 1 5 129 74 44 18 3 0 1 7 13 "-1"
"125" 1 7 192 99 64 23 3 0 4 1 25 "-1"
"126" 1 2 63 61 56 27 2 0 1 23 24 "-1"
"127" 3 7 164 159 64 22 5 2 4 11 13 "-1"
"128" 5 10 127 66 45 18 2 0 3 5 15 "-1"
"129" 3 4 118 58 51 22 2 0 1 6 17 "-1"
"130" 13 14 173 166 48 17 4 1 2 1 2 "-1"
"131" 1 2 70 61 44 17 2 0 1 10 12 "-1"
"132" 1 2 159 39 44 15 2 0 1 1 20 "-1"
"133" 1 3 92 76 44 17 3 0 1 7 9 "-1"
"134" 15 20 125 65 47 14 4 3 7 7 20 "-1"
"135" 1 3 137 67 48 19 2 0 1 4 17 "-1"
"136" 14 19 85 0 38 11 1 3 8 7 0 "-1"
"137" 5 7 67 63 22 6 2 1 2 8 9 "-1"
"138" 1 13 0 0 42 9 0 0 4 0 0 "-1"
"139" 5 7 86 18 38 12 2 0 1 6 29 "-1"
"140" 4 19 133 0 33 13 1 0 10 2 0 "-1"
"141" 6 13 190 65 43 14 4 0 4 0 12 "-1"
"142" 1 11 75 0 51 15 1 0 3 21 0 "-1"
"143" 12 17 80 0 52 12 1 1 6 20 0 "-1"
"144" 4 8 114 65 44 15 2 1 2 5 12 "-1"
"145" 11 14 0 0 41 10 0 1 2 0 0 "-1"
"146" 16 18 144 124 43 15 2 4 6 5 8 "-1"
"147" 13 17 96 56 50 14 2 2 6 14 24 "-1"
"148" 7 77 136 0 13 3 1 1 9 0 0 "1"
"149" 185 188 184 179 14 3 4 11 12 3 4 "1"
"150" 23 131 9 0 12 2 1 4 11 11 0 "1"
"151" 1 11 91 80 43 13 3 0 2 11 14 "-1"
"152" 13 15 191 143 45 12 6 3 5 0 3 "-1"
"153" 1 10 40 0 27 9 1 0 4 13 0 "-1"
"154" 4 15 132 41 42 13 2 1 5 3 18 "-1"
"155" 8 31 169 167 13 4 2 0 2 2 3 "1"
"156" 15 17 179 72 59 15 4 5 7 7 26 "-1"
"157" 5 17 194 55 41 12 3 0 4 0 16 "-1"
"158" 18 21 0 0 39 12 0 7 9 0 0 "-1"
"159" 2 13 0 0 41 13 0 0 3 0 0 "-1"
"160" 11 13 0 0 42 15 0 2 3 0 0 "-1"
"161" 1 14 68 55 44 13 2 0 3 16 21 "-1"
"162" 3 5 17 13 14 4 2 0 1 8 9 "1"
"163" 4 6 31 0 15 4 1 0 1 7 0 "1"
"164" 24 NA 142 65 61 1 3 11 0 17 33 "-1"
"165" 0 0 0 0 41 0 0 0 0 0 0 "1"
"166" 13 15 178 46 55 14 4 2 3 5 31 "-1"
"167" 13 16 54 44 42 14 2 3 4 14 19 "-1"
"168" 2 7 194 64 41 12 3 0 1 0 15 "-1"
"169" 17 NA 57 0 12 1 1 2 0 5 0 "1"
