"","x"
"1",0.833333333333333
"2",0.807886557886558
"3",0.799727845683728
"4",0.787199756764974
"5",0.781283667313079
"6",0.771739130434783
"7",0.754635769721977
"8",0.730986449590454
"9",0.68553311094638
"10",0.596807359307359
"11",0.530469266358229
